time,median
0,0.0
10,2.0
20,2.0
30,3.0
40,4.0
50,4.0
60,5.0
70,6.0
80,7.0
90,7.0
100,8.0
110,9.0
120,9.0
130,10.0
140,11.0
150,12.0
160,12.0
170,13.0
180,13.0
190,14.0
200,15.0
210,15.0
220,16.0
230,17.0
240,17.0
250,19.0
260,19.0
270,19.0
280,20.0
290,21.0
300,21.0
310,22.0
320,22.0
330,23.0
340,24.0
350,25.0
360,25.0
370,26.5
380,27.0
390,27.0
400,28.0
410,28.0
420,29.0
430,29.5
440,30.0
450,31.0
460,31.0
470,31.0
480,32.0
490,32.0
500,32.0
510,32.0
520,33.0
530,33.0
540,33.0
550,34.0
560,34.0
570,34.0
580,34.0
590,34.0
600,34.0
610,34.0
620,34.0
630,34.0
640,34.0
650,34.0
660,34.0
670,34.0
680,34.0
690,34.0
700,34.0
710,34.0
720,34.0
730,34.0
740,34.0
750,34.0
760,34.0
770,34.0
780,34.0
790,34.0
800,34.0
810,34.0
820,34.0
830,34.0
840,34.0
850,34.0
860,34.0
870,34.0
880,34.0
890,34.0
900,34.0
910,34.0
920,34.0
930,34.0
940,34.0
950,34.0
960,34.0
970,34.0
980,34.0
990,34.0
1000,34.0
