time,median
0,0.0
10,1.0
20,1.0
30,2.0
40,2.0
50,2.0
60,3.0
70,4.0
80,5.0
90,6.0
100,7.0
110,8.0
120,10.0
130,13.0
140,16.0
150,19.5
160,24.5
170,30.0
180,37.5
190,47.0
200,57.5
210,71.0
220,87.5
230,107.0
240,133.5
250,171.0
260,213.0
270,263.5
280,327.5
290,410.0
300,500.0
310,628.5
320,765.5
330,945.5
340,1169.5
350,1433.5
360,1761.5
370,2171.5
380,2654.5
390,3230.5
400,3944.0
410,4770.0
420,5735.5
430,6893.0
440,8170.5
450,9591.5
460,11177.5
470,12875.5
480,14708.0
490,16551.5
500,18357.5
510,20100.5
520,21793.5
530,23216.0
540,24553.5
550,25645.0
560,26595.0
570,27331.0
580,27939.0
590,28422.5
600,28781.5
610,29068.0
620,29294.0
630,29433.0
640,29543.0
650,29639.5
660,29703.0
670,29754.0
680,29789.0
690,29835.0
700,29865.5
710,29880.0
720,29891.5
730,29904.0
740,29921.0
750,29924.0
760,29934.5
770,29936.0
780,29945.0
790,29946.0
800,29948.0
810,29948.0
820,29948.0
830,29949.0
840,29950.5
850,29951.0
860,29951.5
870,29951.5
880,29952.0
890,29953.0
900,29953.5
910,29954.5
920,29955.0
930,29955.0
940,29954.0
950,29954.0
960,29954.0
970,29954.5
980,29955.0
990,29955.0
1000,29954.0
