0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690
1;1;2;2;2;2;2;2;2;2;2;3;4;6;7;10;13;15;17;23;33;44;54;69;89;122;166;214;286;373;499;680;902;1182;1553;2023;2664;3451;4508;5795;7332;9223;11347;13746;16304;18813;21327;23477;25314;26675;27713;28474;28948;29289;29529;29686;29786;29861;29898;29929;29949;29963;29969;29972;29976;29979;29980;29980;29981
1;1;1;2;2;3;4;7;10;13;19;25;36;47;56;78;104;140;177;240;305;427;583;780;1040;1367;1796;2384;3090;4052;5194;6648;8440;10512;12857;15386;17969;20430;22649;24564;26080;27269;28163;28783;29173;29447;29649;29791;29871;29933;29965;29984;30000;30013;30021;30028;30031;30031;30032;30032;30033;30034;30034;30034;30034;30034;30034;30034;30034
2;3;3;4;6;9;13;14;19;25;38;46;58;74;99;131;177;234;318;432;584;764;1022;1371;1815;2362;3111;4056;5256;6686;8496;10547;12859;15343;17832;20247;22468;24353;25909;27073;27926;28553;28996;29270;29439;29555;29648;29707;29744;29773;29789;29796;29802;29807;29809;29812;29813;29814;29814;29814;29814;29814;29814;29814;29814;29814;29814;29814;29814
2;3;4;7;8;9;12;14;21;31;37;49;64;81;114;154;211;273;354;474;641;863;1157;1517;2045;2690;3534;4597;5969;7628;9528;11787;14293;16845;19493;21876;24007;25755;27090;28075;28787;29285;29597;29828;29980;30067;30137;30176;30203;30219;30224;30235;30239;30241;30242;30247;30247;30247;30247;30247;30247;30247;30247;30247;30247;30247;30247;30247;30247
1;2;4;6;8;10;14;19;24;33;42;55;76;102;128;166;235;321;418;562;754;985;1326;1783;2352;3131;4088;5277;6745;8431;10480;12753;15319;17875;20359;22575;24524;26132;27292;28180;28789;29201;29474;29641;29761;29851;29910;29933;29957;29975;29986;29990;29993;29993;29994;29995;29995;29995;29995;29996;29996;29996;29996;29996;29996;29996;29996;29996;29996
1;2;2;3;3;4;5;7;8;11;16;17;24;37;47;65;85;107;148;189;249;340;463;625;845;1120;1478;1934;2566;3347;4398;5687;7229;9128;11301;13706;16230;18824;21226;23343;25121;26547;27589;28340;28811;29188;29421;29588;29698;29768;29812;29848;29864;29874;29884;29891;29893;29895;29896;29897;29897;29898;29898;29898;29898;29898;29898;29898;29898
1;2;3;3;4;7;10;15;22;31;42;59;78;114;147;198;270;366;487;646;858;1159;1550;2059;2715;3571;4640;5974;7644;9574;11749;14217;16812;19339;21678;23735;25468;26831;27786;28472;28966;29290;29502;29627;29721;29794;29844;29879;29894;29906;29912;29924;29932;29932;29933;29933;29934;29934;29934;29934;29934;29934;29934;29934;29934;29934;29934;29934;29934
1;1;2;4;5;7;8;8;9;10;14;20;28;40;51;65;89;122;165;214;293;394;543;733;976;1287;1696;2237;2938;3818;4942;6286;7989;10000;12259;14656;17222;19675;21982;23955;25596;26857;27798;28466;28919;29234;29437;29585;29700;29769;29806;29840;29860;29876;29885;29889;29890;29892;29894;29894;29894;29895;29895;29895;29895;29896;29896;29896;29896
2;3;3;4;4;6;8;10;13;15;25;30;38;51;69;89;116;155;208;283;386;536;712;928;1238;1617;2133;2811;3694;4753;6103;7764;9657;11808;14285;16843;19419;21765;23792;25533;26838;27781;28468;28915;29261;29485;29619;29722;29793;29832;29857;29879;29897;29898;29907;29909;29915;29916;29917;29918;29919;29919;29919;29919;29919;29919;29919;29920;29920
2;3;3;6;10;14;17;24;35;50;69;97;127;166;223;301;413;519;677;894;1198;1569;2075;2749;3630;4714;6081;7716;9639;11929;14339;16955;19495;21857;23955;25682;27019;27987;28660;29149;29471;29703;29859;29952;30020;30051;30076;30095;30107;30117;30119;30121;30122;30123;30124;30125;30126;30127;30127;30127;30127;30127;30127;30127;30127;30127;30127;30127;30127
