0;50;100;150;200;250;300;350;400;450;500;550;600;650;7000;
0;1;4;10;32;90;278;700;1471;2310;2782;2923;2951;2954;2952
0;5;14;42;119;324;837;1638;2351;2762;2883;2904;2909;2912;2912
0;3;10;35;90;253;679;1462;2294;2781;2949;2980;2987;2989;2989
0;2;6;15;47;123;370;911;1766;2509;2863;2951;2971;2972;2970
0;2;4;14;51;137;362;893;1701;2474;2793;2898;2921;2923;2923
0;1;6;13;41;112;296;763;1529;2349;2764;2897;2930;2939;2939
0;6;15;43;118;339;884;1793;2579;2910;3024;3048;3052;3051;3048
0;4;11;38;108;300;766;1570;2401;2831;2948;2981;2988;2985;2990
0;2;3;6;22;52;140;419;1013;1890;2571;2863;2941;2960;2965
0;5;17;49;131;373;955;1876;2656;2963;3030;3050;3057;3059;3059
