time,median
0,0.0
10,2.0
20,3.0
30,3.0
40,4.0
50,5.0
60,6.0
70,6.0
80,7.0
90,7.0
100,8.0
110,9.0
120,9.0
130,10.0
140,11.0
150,11.0
160,12.0
170,13.0
180,13.0
190,14.0
200,15.0
210,16.0
220,17.0
230,17.0
240,18.0
250,18.0
260,19.0
270,20.0
280,21.0
290,21.0
300,22.0
310,22.0
320,23.0
330,23.0
340,24.0
350,24.0
360,25.0
370,26.0
380,26.0
390,27.0
400,27.0
410,27.0
420,28.0
430,29.0
440,29.0
450,30.0
460,30.0
470,31.0
480,31.0
490,32.0
500,32.0
510,32.0
520,32.0
530,32.0
540,32.0
550,32.0
560,32.0
570,32.0
580,32.0
590,32.0
600,32.0
610,32.0
620,32.0
630,32.0
640,32.0
650,32.0
660,32.0
670,32.0
680,32.0
690,32.0
700,32.0
710,32.0
720,32.0
730,32.0
740,32.0
750,32.0
760,32.0
770,32.0
780,32.0
790,32.0
800,32.0
810,32.0
820,32.0
830,32.0
840,32.0
850,32.0
860,32.0
870,32.0
880,32.0
890,32.0
900,32.0
910,32.0
920,32.0
930,32.0
940,32.0
950,32.0
960,32.0
970,32.0
980,32.0
990,32.0
1000,32.0
