time,median
0,0.0
10,1.0
20,1.0
30,2.0
40,2.0
50,2.0
60,3.0
70,3.0
80,4.0
90,6.0
100,7.0
110,8.0
120,10.0
130,13.0
140,15.0
150,20.0
160,24.0
170,30.0
180,37.0
190,44.0
200,58.0
210,68.0
220,82.0
230,99.0
240,129.0
250,157.0
260,204.0
270,258.0
280,320.0
290,397.0
300,490.0
310,612.0
320,744.0
330,929.0
340,1143.0
350,1409.0
360,1707.0
370,2082.0
380,2578.0
390,3125.0
400,3794.0
410,4555.0
420,5530.0
430,6638.0
440,7807.0
450,9219.0
460,10800.0
470,12478.0
480,14324.0
490,16194.0
500,17979.0
510,19711.0
520,21338.0
530,22864.0
540,24242.0
550,25369.0
560,26363.0
570,27139.0
580,27734.0
590,28168.0
600,28613.0
610,28947.0
620,29182.0
630,29362.0
640,29486.0
650,29576.0
660,29677.0
670,29731.0
680,29778.0
690,29832.0
700,29861.0
710,29879.0
720,29892.0
730,29897.0
740,29903.0
750,29908.0
760,29913.0
770,29915.0
780,29928.0
790,29937.0
800,29957.0
810,29972.0
820,29982.0
830,29984.0
840,29986.0
850,29984.0
860,29985.0
870,29986.0
880,29985.0
890,29986.0
900,29986.0
910,29985.0
920,29985.0
930,29985.0
940,29985.0
950,29986.0
960,29986.0
970,29985.0
980,29985.0
990,29985.0
1000,29983.0
